Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
3/23/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CO,92656,,N/A,Web,3/23/2014,Closed with explanation,Yes,No,773667
10/16/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,77396,,N/A,Referral,10/23/2014,Closed with explanation,Yes,No,1074634
3/7/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"PENNYMAC LOAN SERVICES, LLC.",TX,79706,,N/A,Web,3/7/2015,Closed with explanation,Yes,No,1272759
6/9/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WAKEFIELD & ASSOCIATES, INC.",CO,80907,Older American,Consent not provided,Web,6/9/2016,Closed with explanation,Yes,Yes,1960824
7/1/2014,Debt collection,I do not know,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,Oracle Financial Group LLC.,OR,97005,,N/A,Web,7/22/2014,Closed with non-monetary relief,Yes,No,918886
7/11/2013,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,Hamilton National Mortgage Company,VA,20111,,N/A,Web,7/15/2013,Closed with explanation,Yes,Yes,455770
6/26/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,UNITED SERVICES AUTOMOBILE ASSOCIATION,OR,97236,,N/A,Web,6/30/2014,Closed with explanation,Yes,No,912907
3/5/2013,Credit card,,Billing disputes,,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",MD,20745,Older American,N/A,Web,3/6/2013,Closed with explanation,Yes,Yes,342473
10/22/2015,Mortgage,Other mortgage,Other,,,Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",DE,19805,,N/A,Referral,10/27/2015,Closed with explanation,Yes,No,1620590
10/24/2014,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IN,60651,,N/A,Web,10/24/2014,Closed with non-monetary relief,Yes,No,1086180
5/18/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",MA,1852,Servicemember,N/A,Web,5/18/2014,Closed with explanation,Yes,No,857414
6/10/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,CA,95630,,Other,Web,6/10/2015,Closed with explanation,Yes,Yes,1416053
3/18/2016,Credit card,,Billing disputes,,"This complaint arises from a dispute in the way the payments were applied to my Capital One card. My concerns are in reference to Credit Card Accountably Act "" Require that payments above the minimum payment be applied to balances with the highest interest rates first '' This is sample of billing statements from my Capital One account Statement XXXX XXXX - XXXX XXXX 2010 Interest charge calculation Balance subject to interest interest charge Purchases 18.90 % {$860.00} {$13.00} Cash 22.90 % {$730.00} {$14.00} Statement XXXX XXXX - XXXX XXXX 2010 Purchases 18.90 % {$830.00} {$12.00} Cash 22.90 % {$720.00} {$12.00} Statement XXXX XXXX - XXXX XXXX 2010 Purchases 18.90 % {$800.00} {$12.00} Cash 22.90 % {$700.00} {$13.00} Statement XXXX XXXX - XXXX XXXX 2010 Purchases 18.90 % {$730.00} {$11.00} Cash 22.90 % {$710.00} {$13.00} During the time frame of these XXXX statements, {$410.00} in payments were made, XXXX purchase of {$62.00} was made and {$220.00} and interest and fees were assessed. 
( I have attached the XXXX statements in reference to this complaint ) It appears that payments above the minimum payment may not have been applied to the highest balance first. Would this not result in the account stated to be incorrect? Could you please look into this matter?",,CAPITAL ONE FINANCIAL CORPORATION,AZ,856XX,,Consent provided,Web,3/18/2016,Closed with explanation,Yes,Yes,1838841
10/15/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,"HCFS Health Care Financial Services, Inc.",OR,97124,,N/A,Referral,10/19/2015,Closed with explanation,Yes,No,1609189
1/19/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,SQUARETWO FINANCIAL CORPORATION,GA,30066,,Consent not provided,Web,1/19/2016,Closed with explanation,Yes,Yes,1747408
9/17/2015,Mortgage,Other mortgage,Other,,,,NATIONSTAR MORTGAGE,CA,92307,,N/A,Referral,9/22/2015,Closed with explanation,Yes,No,1568724
1/23/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,,,"The Schreiber Law Firm, PLLC",CA,92618,,Consent not provided,Web,1/23/2017,Untimely response,No,No,2306732
3/8/2012,Mortgage,Other mortgage,Credit decision / Underwriting,,,,OCWEN LOAN SERVICING LLC,NJ,7735,,N/A,Web,3/23/2012,Closed without relief,Yes,No,32243
8/5/2015,Consumer Loan,Vehicle lease,Managing the loan or lease,,,Company believes the complaint is the result of a misunderstanding,TOTAL FINANCE AC LLC,IL,60563,,N/A,Phone,8/12/2015,Closed with explanation,Yes,No,1504234
4/16/2015,Credit card,,Identity theft / Fraud / Embezzlement,,,,TD BANK US HOLDING COMPANY,AZ,85335,,N/A,Referral,4/20/2015,Closed with explanation,Yes,No,1333392
9/18/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,BBVA COMPASS FINANCIAL CORPORATION,TX,76712,,N/A,Web,9/18/2013,Closed with monetary relief,Yes,Yes,531950
10/7/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,32164,,N/A,Referral,10/12/2016,Closed with explanation,Yes,No,2151994
10/13/2016,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,"CIT BANK, NATIONAL ASSOCIATION",NJ,8088,Older American,N/A,Referral,11/1/2016,Closed with explanation,Yes,Yes,2159819
8/23/2016,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,JPMORGAN CHASE & CO.,NY,11204,,Consent not provided,Web,8/23/2016,Closed with explanation,Yes,No,2077938
3/9/2012,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",NY,10980,,N/A,Referral,3/9/2012,Closed without relief,Yes,No,28452
7/12/2016,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"We were notified today XX/XX/2016 that we have Hard Credit Inquiries on our Credit Reports ( Equifax , XXXX and XXXX ) for a loan that we DID NOT apply for. 
The following companies XXXX, XXXX, XXXX, XXXX and others have run Hard Inquiries against our credit reports and we have Never heard of these companies before. We call Equifax and XXXX and they put a Freeze on Our Credit Reports. XXXX has not put a freeze on yet. Equifax and XXXX said we would have to call these companies as ask to have the Hard Credit Inquiries removed but we said this is FRAUD. We had a freeze put on our credit reports so no more credit inquiries can be made for now. We have already had our credit scores reduced by these Fraudulent Credit Inquiries. We need help in all of this since Equifax and XXXX and XXXX DOES Not want to help us. We paid money to have the freezes put on each credit report. Do we now need to seek a lawyer to help us and have to pay for the lawyers fees too? We have tried for a long time to get improved credit scores but in a flash our scores are lower and we did not even apply for any loans or miss payments but are being penalized with no one to help us.",,"EQUIFAX, INC.",FL,329XX,"Older American, Servicemember",Consent provided,Web,7/12/2016,Closed with explanation,Yes,Yes,2008001
11/20/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,33016,,N/A,Referral,11/24/2015,Closed with explanation,Yes,No,1664935
4/19/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",GA,302XX,Servicemember,,Web,4/19/2017,Closed with explanation,Yes,No,2442774
10/12/2015,Bank account or service,Checking account,Deposits and withdrawals,,My boyfriend deposited a check into my account Friday the XXXX of XXXX at Wells Fargo bank. He made an error on the amount and changed it and intialed the mistake and proceeded with the deposit of XXXX dollars. The teller then accepted the check and did not inform him that they would hold the check availability until the XXXX of XXXX. They immediately withdrew the funds from his account and refused to allow me access to the funds so that I could pay my bills and see my doctors! I now have to make another appointment with my XXXX which will take at least 30 days before she can see me and cause me to run out of medication! If I run out of medication I could have XXXX! I have no one else to pay for my doctors visit or my medication. I ca n't even borrow the money from my boyfriend because Wells Fargo is holding all of his money. I can not believe it is legal to hold someone 's funds for 12 days! I am so tired of this banks illegal processes and their lack of customer service! They have caused me so much stress I almost went to the hospital today!,Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",FL,334XX,,Consent provided,Web,10/12/2015,Closed with explanation,Yes,No,1603141
1/15/2017,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,VA,23836,,Consent not provided,Web,1/18/2017,Closed with explanation,Yes,No,2289767
11/4/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,MI,48382,,N/A,Fax,11/6/2013,Closed with explanation,Yes,No,583211
11/8/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91326,,N/A,Referral,11/9/2012,Closed with explanation,Yes,No,187903
5/28/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",PA,19082,,N/A,Postal mail,6/6/2014,Closed with explanation,Yes,No,870042
4/6/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,DE,199XX,,,Web,4/6/2017,Closed with explanation,Yes,No,2423188
9/27/2015,Credit reporting,,Incorrect information on credit report,Public record,"I requested a credit report from Experian dated XXXX ( Report # XXXX ) which incorrectly listed the following Public Records which do not belong to me : ( 1 ) XXXX XXXX XXXX ( Judgement in Favor of XXXX XXXX XXXX ). This is a XXXX judgment which appears to be in the name of my father ( XXXX XXXX XXXX, XXXX ) who lives at XXXX XXXX XXXX, XXXX XXXX, XXXX. I live in XXXX and have no knowledge of ( or obligation to ) this matter. 

( 2 ) XXXX XXXX XXXX XXXX ( XXXX XXXX XXXX ). This too is a matter related to my father ( XXXX XXXX XXXX, XXXX ) who lives at XXXX XXXX XXXX, XXXX XXXX, XXXX. I live in XXXX and have no knowledge of ( or obligation to ) this matter. Additionally, This is surely under a different SS #.",Company chooses not to provide a public response,EXPERIAN DELAWARE GP,MA,019XX,,Consent provided,Web,10/1/2015,Closed with non-monetary relief,Yes,No,1582118
3/29/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"XX/XX/XXXX Received an email ( 1st contact ) at my place of employment from Direct Recovery Services ( XXXX almost 12 yrs now ) - I had a ChXXXX Bankruptcy cleared in XX/XX/XXXX. I have never heard of this company nor the named "" original creditor '' ( XXXX ) - nor have I ever received any previous emails, voice mails nor USPS mailed letters to the effect. They ( DRS ) have used an address in the header which I have not resided, for over 8 yrs ( I have moved 3 times since, but cell phone number has not changed in over 10 yrs, and mail continuously forwarded via USPS ). This supposed debt has not been on any copy of my credit report that I can recall.",Company believes it acted appropriately as authorized by contract or law,"Direct Recovery Services, LLC",TX,782XX,,Consent provided,Web,3/29/2017,Closed with explanation,No,No,2409649
7/15/2012,Credit card,,Credit card protection / Debt protection,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,15221,,N/A,Web,7/17/2012,Closed with explanation,No,No,117955
8/16/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,"CITIBANK, N.A.",VA,23917,Older American,N/A,Postal mail,8/20/2013,Closed with explanation,Yes,No,493827
1/24/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33565,,N/A,Referral,2/3/2014,Closed with explanation,Yes,No,684550
7/27/2015,Consumer Loan,Installment loan,Managing the loan or lease,,,,"MNE Services, Inc",WA,98004,,N/A,Referral,7/31/2015,Untimely response,No,No,1487513
3/30/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,On XX/XX/2017 I checked my credit and noticed that Credence was listed on my report. On XX/XX/2017 I received a settlement offer letter. I never received a letter with notification of this debt or my right to dispute. Once I obtained this letter I did go ahead and send out a validation of debt letter to the company. Thus far I have not heard anything back.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Credence Resource Management, LLC",GA,302XX,,Consent provided,Web,3/30/2017,Closed with explanation,Yes,No,2412197
6/3/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,6419,,N/A,Referral,6/5/2013,Closed with explanation,Yes,No,422362
8/31/2016,Bank account or service,Checking account,"Account opening, closing, or management",,"I opened a citigold account with citibank using the promotion code which was sent to me by citibank with promo code XXXX. Which states I will earn XXXX bonus ThankYou ( R ) Points after opening a new consumer Regular Checking account in The Citigold Account Package after completing 1 or more qualifying bill payments for 2 consecutive Citibank calendar months. After I opened the account I got the confirmation letter confirming all the promotional detail by citibank and stated I was enrolled in this offer. After I was enrolled in the offer, I contacted citibank several times and the agents all confirmed I was enrolled in this offer and repeated the condition for fulfilling the requirements and confirming I am eligible for the XXXX bonus thank you points. However, after I fulfilled all the requirements and contacted citibank again to check when I will received the bonus points, citibank agent told me I will not get any points since I was not targeted for this offer. Which is clearly not true as I spoke to several agents confirming I was eligible and enrolled in this offer and if I was not targeted they should have told me I am not eligible in the first place. Also, I had several citibank issued credit card offering thank you points and I am a member of thank you point account which I believe is the reason I received the offer and I applied for the account. I believe citibank has made a mistake and confused the customer and therefore should credit me the points I deserve since I fulfilled all the requirements for the offer.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,113XX,,Consent provided,Web,8/31/2016,Closed with non-monetary relief,Yes,No,2087322
5/8/2015,Credit card,,Other,,,Company chooses not to provide a public response,"CITIBANK, N.A.",NY,13104,,Consent not provided,Web,5/8/2015,Closed with explanation,Yes,No,1367133
10/29/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93117,,N/A,Phone,11/1/2012,Closed with monetary relief,Yes,No,179612
6/29/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,TRANSWORLD SYSTEMS INC,LA,70072,,N/A,Referral,6/30/2016,Closed with explanation,Yes,No,1990488
4/18/2014,Credit reporting,,Incorrect information on credit report,Personal information,,,EXPERIAN DELAWARE GP,MT,59859,,N/A,Web,4/18/2014,Closed with non-monetary relief,Yes,No,815321
1/19/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"In XXXX/XXXX/XXXX, I have open a new checking account and deposit {$15000.00} with city bank. I can get {$400.00} Cash bonus if I keep the minimum balance of {$15000.00} for the next 30 days that city bank said. But after 30 days they have't gave me the bonus. I went to city bank 3 times to ask my bonus back but they said that I have to wait the city bank main office send the bonus to my account. Today is XXXX/XXXX/XXXX, I am still waiting ...",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,949XX,,Consent provided,Web,1/23/2017,Closed with explanation,Yes,No,2299529
5/24/2016,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CORELOGIC INC,NY,10950,,N/A,Postal mail,5/25/2016,Closed with explanation,Yes,No,1940167
5/27/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",ME,4087,,Consent not provided,Web,5/27/2016,Closed with explanation,Yes,No,1945274
3/11/2017,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,"On XX/XX/2016, we accepted an offer from CitiMortgage to refinance the adjustable-rate mortgage we had with them, paying an application fee and locking in a 15-year, fixed-rate of 2.875 %. From the outset, we emphasized that the bulk of our living expenses are funded by automatic monthly withdrawals from our retirement accounts ( IRA, SEP-IRA and a tax-deferred employee savings plan ), in addition to our investment portfolio. 

After five months and countless hours of complying with Citi 's requirements for documentation -- often being asked for the same documents two or three times over -- we have been informed that our application has been denied due to "" Insufficient income for mortgage obligations. '' This is despite our repeated documentation of over ample funds in our retirement accounts and steady monthly withdrawals. 

Citi 's underwriting department required : "" If income is from retirement assets provide 2 months current, complete and consecutive bank statements to verify sufficient assets for income to continue for 3 years. '' Accordingly, we provided copies of our XXXX statements reflecting our retirement accounts and our bank statements -- several times. At no time did Citi ask for additional information about any of our retirement accounts, even though we offered. In the last communication from the loan processor, she stated that they had enough information to submit the package to underwriting. 

Our cash flow is more than ample to meet our mortgage obligations and living expenses. Citi has known this from the beginning, but continued to string us along and repeatedly asked for the same documents until finally after -- five months -- they declared that our income was insufficient. It is now clear that Citi simply did n't want to refinance the loan in the face of rising interest rates, and continued to mislead and deceive us. We have retained all correspondence and documentation. 

Refinance Loan # XXXX Original Loan # XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CO,801XX,Older American,Consent provided,Web,3/11/2017,Closed with monetary relief,Yes,No,2382638
5/14/2014,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,"Dynamic Recovery Solutions, LLC",CA,92503,,N/A,Web,5/14/2014,Closed,Yes,No,851217
8/28/2012,Credit card,,Credit determination,,,,"CITIBANK, N.A.",MA,2139,Older American,N/A,Web,8/28/2012,Closed with explanation,Yes,No,142740
2/4/2017,Credit reporting,,Incorrect information on credit report,Account terms,,,"EQUIFAX, INC.",KS,66617,,Consent not provided,Web,2/4/2017,Closed with explanation,Yes,Yes,2328073
1/27/2017,Credit reporting,,Incorrect information on credit report,Account terms,"Collection Accounts identified as ( XXXX XXXX ) on my Experian Credit Report Account # XXXX Account # XXXX Account # XXXX Account # XXXX Appears on my credit report, however, the alleged original creditor FAILED to process my insurance credentials correctly therefore adding them to my credit report lowering my credit score and causing me hardship and Refusing to removing these accounts. Additionally, I asked Experian to delete these accounts from my report as I was covered by insurance ( XXXX ) at the Date Of Service and I am covered by the same insurance as of todays date. I never received a bill or notice of delinquency and I also spoke with my insurance company to verify they would be resubmitted and paid due to creditor 's error. I have previously asked for removal of the disputed item, and yet the Collection Accounts is still reporting delinquent and late. Since both the creditor and debt collection agency are aware of the error on their part, Experian needs to permanently delete this item as FCRA does NOT allow for inaccurate items to remain on consumer credit reports.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,333XX,,Consent provided,Web,1/27/2017,Closed with explanation,Yes,No,2312454
10/20/2013,Credit reporting,,Incorrect information on credit report,Account status,,,EXPERIAN DELAWARE GP,CA,90064,,N/A,Web,10/23/2013,Closed with explanation,Yes,No,563023
7/7/2016,Credit card,,Customer service / Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,GA,30066,Older American,N/A,Phone,7/8/2016,Closed with non-monetary relief,Yes,No,2002979
3/7/2013,Mortgage,Conventional adjustable mortgage (ARM),Settlement process and costs,,,,"Real Time Resolutions, Inc.",CA,92401,,N/A,Web,3/8/2013,Closed with explanation,Yes,No,345827
8/17/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Southwest Credit Systems, L.P.",NY,11372,,Consent not provided,Web,8/17/2016,Closed with explanation,No,No,2068387
8/16/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,DISCOVER BANK,CO,80122,,N/A,Referral,8/18/2016,Closed with explanation,Yes,No,2065865
5/6/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ocwen misreported our payments over the last 6 months and we have tried to get it resolved. We sold our house in XXXX and the loan was paid off however they are still reporting it late and with a balance. The payment status is wrong. Please assist.,,OCWEN LOAN SERVICING LLC,TX,762XX,,Consent provided,Web,5/6/2016,Closed with explanation,Yes,No,1914218
3/27/2014,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,,,SYNCHRONY BANK,VA,23322,,N/A,Web,3/28/2014,Closed with explanation,Yes,No,782215
1/18/2016,Credit card,,Balance transfer,,,Company chooses not to provide a public response,BARCLAYS BANK DELAWARE,TX,77433,,Consent not provided,Web,1/18/2016,Closed with monetary relief,Yes,No,1746450
11/13/2016,Credit reporting,,Incorrect information on credit report,Public record,"This is a fraudulent account on my credit report, the XXXX have already satisfied this negative remark on my acct as being paid off, please remove this, also a XXXX should n't be on my report, another fraudulent activity on my credit report.",,"EQUIFAX, INC.",GA,303XX,,Consent provided,Web,2/16/2017,Closed with explanation,Yes,No,2205746
2/16/2017,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,"Navient Solutions, LLC.",LA,70380,Servicemember,Consent not provided,Web,2/22/2017,Closed with explanation,Yes,No,2347215
8/2/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"ON XXXX/XXXX/2016 I USED THE WEB SITE FOR MY XXXX I VIEWED AND SAVED THE FIRST XXXX REPORTS PDF FILES THE XXXX REPORT FROM EXPERIAN NEVER GOT TO SECURITY/SIGN IN PAGE!!!! 
NEVER DOWNLOADED ANYTHING!!! 

I WENT BACK TO XXXX IT SAID COME BACK IN 1 YEAR FOR NEXT REPORT NO PLACE TO REPORT PROBLEM ON WEB SITE EXPERIAN WEB SITE NO HELP EITHER",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,338XX,Older American,Consent provided,Web,8/2/2016,Closed with non-monetary relief,Yes,No,2041505
1/26/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,91303,,N/A,Referral,2/14/2013,Closed with explanation,Yes,No,265074
2/6/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"QUICKEN LOANS, INC.",NJ,8302,,N/A,Web,2/6/2015,Closed with explanation,Yes,No,1228288
8/17/2015,Bank account or service,Cashing a check without an account,"Making/receiving payments, sending money",,"I received a check from a business doing their banking with Bank ofAmerica. This bank charged XXXX ( XXXX ) dollars to cash a check written forpayment at their bank. This is common practice in XXXX XXXX, Nevada.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NV,891XX,,Consent provided,Web,8/17/2015,Closed with explanation,Yes,No,1521985
3/4/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,EXPERIAN DELAWARE GP,CA,95948,,N/A,Web,3/4/2015,Closed with non-monetary relief,Yes,No,1267622
6/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,On XXXX/XXXX/XXXX I had my bureau information pulled to complete a motorcycle loan. They informed me of a collection account that was added to my XXXX bureau XX/XX/XXXX. On Monday XXXX/XXXX/XXXX I pulled my Free Credit bureau from XXXX and noted that I did have a new unpaid collection from XX/XX/XXXX on my bureau from National Recovery. I needed to get this collection account removed in order to get the best rate on my motorcycle loan. I called the number listed on the collection and they were not able to find a collection in my name. They informed me to contact XXXX to obtain the full account number. I contacted XXXX and entered a formal dispute for this item and indicated I had not received any written notice and I obtained my account number. I called back to the National Recovery unit and offered to pay the collection if they could immediately send me confirmation via Fax or Email that I had paid the debt. They indicated they would not be able to send me confirmation of debt payment immediately and I would instead need to send them a self-addressed stamped envelope to receive a receipt of payment. My account number for the collection was XXXX and my confirmation of payment is XXXX. These practices cause consumer harm. Not having received written notice does not give the consumer the opportunity to dispute a collection prior to it showing up on a credit bureau and then not allowing customers to immediate proof of payment on a collection can result in them having a higher interest rate on loans. A consumer has the most rights to their own information and with today 's technology collection agencies should be required to provide an immediate receipt to customers. National Recovery should be investigated for violations of the Fair Credit Reporting Act for not sending out a written notice prior to entering a collection account on my credit bureau.,Company believes it acted appropriately as authorized by contract or law,"NRA Group, LLC",MN,553XX,,Consent provided,Web,7/8/2016,Closed with explanation,Yes,No,1967049
4/28/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,IL,60641,Older American,N/A,Referral,5/3/2016,Closed with explanation,Yes,No,1900696
7/23/2016,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,I paid the debt the telephone is XXXX and the number for confirmations the paid is XXXX,,Southern Management Systems Inc.,FL,347XX,,Consent provided,Web,7/23/2016,Closed with explanation,Yes,No,2027017
4/8/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,KEYCORP,TX,75013,,Consent not provided,Web,4/8/2016,Closed with explanation,Yes,Yes,1870791
3/3/2017,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,I WAS A VICTIM OF AN INTERNET SCAM AND I WOULD LIKE TO PLACE A FRAUD PROTECTION ALERT ON ALL XXXX CREDIT BUREAU RECORDS ASAP.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,441XX,,Consent provided,Web,3/3/2017,Closed with explanation,Yes,No,2370694
10/8/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,TCF NATIONAL BANK,IL,60168,,N/A,Phone,10/13/2015,Closed with non-monetary relief,Yes,No,1599267
6/5/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,,,JPMORGAN CHASE & CO.,CA,94024,,N/A,Web,6/5/2013,Closed with explanation,Yes,Yes,424393
2/19/2015,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,VA,23238,Older American,N/A,Web,2/19/2015,Closed with explanation,Yes,Yes,1246811
5/12/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",LA,70433,,N/A,Web,5/12/2014,Closed with explanation,Yes,No,848245
11/24/2014,Consumer Loan,Installment loan,Taking out the loan or lease,,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",PA,17044,,N/A,Web,11/24/2014,Closed with explanation,Yes,No,1128997
6/30/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,,,AES/PHEAA,LA,70057,Servicemember,N/A,Phone,6/30/2016,Closed with explanation,Yes,No,1993550
1/26/2016,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"MOUNTAIN WEST FINANCIAL, INC.",CA,90255,,Consent not provided,Web,1/26/2016,Closed with explanation,Yes,No,1758871
1/5/2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Keep getting calls about my loan,"I have asked that all correspondence be by mail. Pioneer Credit calls multiple times a day to myself and numerous family members. 
They are now engaging in deceptive practices of making false representations by somehow displaying my family names on the caller id in place of their phone number. This is harassing and intimidating uncalled for actions on the part of Pioneer Credit.",Company chooses not to provide a public response,"Navient Solutions, LLC.",NC,278XX,,Consent provided,Web,1/5/2016,Closed with explanation,Yes,No,1726806
8/14/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"National Credit Systems,Inc.",FL,33771,,Consent not provided,Web,8/22/2016,Closed with explanation,Yes,Yes,2062734
6/23/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,LA,71107,"Older American, Servicemember",N/A,Phone,6/24/2015,Closed with non-monetary relief,Yes,No,1434118
